 32 1997-04-21T10:11 LLAMAICEB Wind      -3.57       0.56      -5.00       8.17     392.74   31053.24      20.50       8.45       5.58      -4.82       1.57      11.14     360.62   53439.54      12.98       0.93
 33 1997-05-15T01:15      CDAW Wind       0.22       3.30      -7.16      21.98     421.72  141292.94      27.67       0.66      -7.18      10.84      -6.96      19.64     461.53   52541.94       6.33       0.20
 33 1997-05-15T01:15    DREAMS Wind       0.62       2.32      -8.26      22.07     422.95  147373.52      26.50       0.64      -8.07      13.11      -8.47      20.44     458.08   31484.94       5.33       0.10
 33 1997-05-15T01:15      Jian Wind       None       None       None       None       None       None       None       None      -4.42       8.58      -8.41      21.16     444.73   76692.61      13.50       0.32
 33 1997-05-15T01:15   Lepping Wind       None       None       None       None       None       None       None       None      -7.09      10.70      -7.01      19.66     461.38   53726.62       6.37       0.20
 33 1997-05-15T01:15        RC Wind       0.76       2.22      -7.12      22.32     424.11  146743.69      26.92       0.63      -7.07      11.20      -8.43      20.23     457.86   45581.70       6.04       0.15
 33 1997-05-15T01:15      Wind Wind       0.54       2.42      -8.57      22.14     423.29  145414.18      26.11       0.63      -7.86      10.27      -4.72      18.79     468.99   58067.40       6.12       0.23
 33 1997-05-15T01:15 LLAMAICEA Wind       0.54       2.42      -8.57      22.14     423.29  145414.18      26.11       0.63      -8.10      13.15      -8.35      20.40     458.19   31424.78       5.33       0.10
 33 1997-05-15T01:15 LLAMAICEB Wind       0.54       2.42      -8.57      22.14     423.29  145414.18      26.11       0.63      -7.71       9.60      -4.54      18.44     470.71   60376.02       6.10       0.25
 34 1997-05-16T06:01   Lepping Wind       None       None       None       None       None       None       None       None       0.29      -5.30       3.25       7.90     491.59   69036.04       3.73       0.88
